scheme,measurement_type,10,20,50,100,200
LawsonEuler,"Y0(100,0.4)",4.798466278661286,5.560529933987746,5.601496927099452,5.621065483140017,5.63022906543223
LawsonEuler,Runtime[s],22.7935528755188,29.70417618751526,66.14965796470642,129.12831282615662,255.58414506912231
NorsettEuler,"Y0(100,0.4)",4.90764626622677,5.566196228483622,5.623447190415948,5.63257641140014,5.636035138427895
NorsettEuler,Runtime[s],14.714094161987305,26.25898790359497,61.45684504508972,116.10907816886902,231.01238989830017
ETDRK2,"Y0(100,0.4)",4.934760611796455,5.600636093822609,5.636781421554453,5.639253491353949,5.639371336106954
ETDRK2,Runtime[s],26.151757955551147,43.69901204109192,112.08446097373962,221.11412382125854,443.10718297958374
ETDRK3,"Y0(100,0.4)",4.932858252017564,5.60141669613675,5.636868463580804,5.639275689433955,5.63937707307152
ETDRK3,Runtime[s],33.03697609901428,66.36800289154053,159.76938915252686,341.57104897499084,724.5667669773102
ETDRK4,"Y0(100,0.4)",4.952064958579129,5.601491700833722,5.636872811703197,5.639276354192734,5.639377172574346
ETDRK4,Runtime[s],63.90424990653992,121.80752992630005,293.5910789966583,566.3171670436859,1150.638109922409
HochOst4,"Y0(100,0.4)",4.932805919969068,5.601329109069393,5.636868652346867,5.639276277750687,5.6393771702059405
HochOst4,Runtime[s],60.23075890541077,114.64156413078308,285.9899260997772,551.4694700241089,1117.3502159118652
