scheme,measurement_type,10,20,50,100,200,500
7,"Y0(95,0.4)",4.418051831225208,4.410731630661933,4.408482327302577,4.408122593566972,4.408033642661842,4.40800984072764
7,"Y0(100,0.4)",5.826771727024613,5.816314092802362,5.813304846291202,5.812828347749145,5.812718684572545,5.812688434176225
7,"Y0(105,0.4)",5.635030865229341,5.625195073978391,5.62239166614917,5.6219533314928665,5.621850461127998,5.621822270256598
7,Runtime[s],2.0403940677642822,0.8738670349121094,1.870192050933838,3.6524789333343506,7.099981069564819,17.73779797554016
8,"Y0(95,0.4)",4.419713722915899,4.411038439446194,4.407809905884895,4.407212214128434,4.40704561194486,4.4069958125994795
8,"Y0(100,0.4)",5.836302461188702,5.823246928178262,5.818513405956775,5.817705624519356,5.817470293175622,5.817402293975626
8,"Y0(105,0.4)",5.650906201858721,5.637852706345425,5.633201018913812,5.632413846136062,5.6321914500680546,5.632127114298173
8,Runtime[s],0.8631420135498047,1.6219489574432373,3.8625199794769287,7.464334011077881,14.984563827514648,36.78523898124695
9,"Y0(95,0.4)",4.419859601064127,4.410204855237186,4.406484510772854,4.40573231022695,4.405501089298026,4.40542080590283
9,"Y0(100,0.4)",5.841068533802948,5.826337947339125,5.820825402462646,5.819733267716162,5.819403017607888,5.819291886264493
9,"Y0(105,0.4)",5.658196931448435,5.643089475108575,5.6374903645064,5.636413324220429,5.636086449818661,5.635980331443089
9,Runtime[s],1.9215660095214844,3.454395055770874,8.117702007293701,15.989640951156616,31.448522090911865,77.89796280860901
10,"Y0(95,0.4)",4.419662896106584,4.409831530449697,4.405888068556804,4.405065948448779,4.404796333458646,4.404693804691044
10,"Y0(100,0.4)",5.84268254252082,5.827528748305728,5.821643268822544,5.820420464239097,5.820018975037944,5.819869827649783
10,"Y0(105,0.4)",5.660977510422999,5.645077069529284,5.638949992368859,5.6377094552436535,5.6373033570739555,5.637154288447817
10,Runtime[s],4.727555990219116,8.368072986602783,20.215296983718872,37.96444797515869,75.0951018333435,187.49439096450806
