scheme,measurement_type,10,20,50,100,200,500
7,"Y0(95,0.4)",4.4083726977533075,4.408065836485228,4.408001292997373,4.408003780415578,4.4080055265418885,4.408005207256531
7,"Y0(100,0.4)",5.812977658220548,5.812705817557878,5.812666879872698,5.812681786680198,5.8126829417789425,5.812682412781813
7,"Y0(105,0.4)",5.621952306737112,5.621824836277764,5.62180417770389,5.621815679701788,5.621816844325096,5.621816642624564
7,Runtime[s],2.366798162460327,1.29475998878479,3.0834500789642334,6.1487650871276855,11.877957820892334,29.692065954208374
8,"Y0(95,0.4)",4.408303231480983,4.407303966782779,4.407013648792539,4.406989957375387,4.406986442045551,4.406986040594418
8,"Y0(100,0.4)",5.819065360497269,5.817775142736992,5.817436978443434,5.817391334883671,5.8173888541380725,5.817389172348139
8,"Y0(105,0.4)",5.633583128169661,5.632426215033407,5.6321490928562294,5.632116366048846,5.6321142921570395,5.632114598195469
8,Runtime[s],1.3457179069519043,2.630434989929199,6.3242480754852295,12.224890947341919,24.00819492340088,58.816137075424194
9,"Y0(95,0.4)",4.40721902406461,4.405922101499123,4.405485089678517,4.405424351850385,4.405407009433674,4.40540343663382
9,"Y0(100,0.4)",5.821822508470548,5.819985238776618,5.819372850590046,5.819292949555887,5.819272595359479,5.81926833815905
9,"Y0(105,0.4)",5.638351290609412,5.636636867236701,5.636055570087528,5.635976900306627,5.635961646158503,5.635958294270578
9,Runtime[s],2.884335994720459,5.355279922485352,12.97526502609253,25.56948685646057,50.12023687362671,124.74630403518677
10,"Y0(95,0.4)",4.406448097207493,4.405307715697882,4.4047976141033285,4.404707458742714,4.404676952842068,4.404667096395428
10,"Y0(100,0.4)",5.822691600961846,5.820786504161789,5.820020939104815,5.819886378470907,5.819844685334886,5.81983202356105
10,"Y0(105,0.4)",5.640005562891657,5.638050883802773,5.637301992276704,5.637168765112794,5.637128918802367,5.637117623692452
10,Runtime[s],7.144842147827148,13.167935848236084,31.091470956802368,59.291110038757324,128.01840209960938,400.86737394332886
