scheme,measurement_type,10,20,50,100,200,500
7,"Y0(95,0.4)",4.548135668571575,4.478366195059557,4.4361624598070595,4.422070219210207,4.415033975707293,4.4108162021233195
7,"Y0(100,0.4)",6.067462026833596,5.940000282647321,5.8636206781855496,5.838123220823188,5.825396644844083,5.817766829608894
7,"Y0(105,0.4)",5.8681217218171415,5.745150570134712,5.671137066829409,5.646442461358039,5.634123113741643,5.626737796135983
7,Runtime[s],3.044919967651367,0.7631261348724365,1.843045949935913,3.5880448818206787,7.065186023712158,17.324909925460815
8,"Y0(95,0.4)",4.5535518954643965,4.480763423846641,4.436450753328735,4.421676951621096,4.414316726835418,4.4099140594997595
8,"Y0(100,0.4)",6.084255833125402,5.951112044378258,5.8707606862515505,5.844033737986105,5.830691536929313,5.8227049881638795
8,"Y0(105,0.4)",5.8932313955348015,5.763120468178422,5.68435803418204,5.658184100351545,5.64512731423271,5.637313565168845
8,Runtime[s],0.8726940155029297,1.6300890445709229,3.900034189224243,7.622252941131592,15.038169860839844,37.0299859046936
9,"Y0(95,0.4)",4.555619634911423,4.480948773290927,4.435593038532586,4.4204520251385855,4.412911174636843,4.408399569357989
9,"Y0(100,0.4)",6.092763525619288,5.956180142554411,5.8739606873214525,5.846553664511784,5.832891356424491,5.824711053687183
9,"Y0(105,0.4)",5.905204817845931,5.770863669554869,5.689794816270986,5.66281343142303,5.649361606044476,5.641311643035962
9,Runtime[s],2.0735280513763428,3.67753005027771,8.605297088623047,16.899574041366577,33.27575707435608,82.01375699043274
10,"Y0(95,0.4)",4.555280221451612,4.4808513317100775,4.435190177975033,4.419891382430756,4.412262963733042,4.407697428809106
10,"Y0(100,0.4)",6.0947729771709165,5.957955155297539,5.875068486617584,5.847404559356171,5.833599537367019,5.825331470939976
10,"Y0(105,0.4)",5.908684913955749,5.773674612303032,5.691696758315391,5.6643547768185405,5.650712451087866,5.642545227604172
10,Runtime[s],5.139899015426636,9.049101829528809,16.380171060562134,27.505038022994995,53.869688987731934,137.21571588516235
