scheme,measurement_type,10,20,50,100,200,500
7,"Y0(95,0.4)",4.545820491127373,4.4746174603688225,4.434009075352289,4.420876981552634,4.414407929735084,4.41055885530427
7,"Y0(100,0.4)",5.964722416018543,5.885217913080713,5.840695695789798,5.8264916571859935,5.819539822347115,5.815415197226213
7,"Y0(105,0.4)",5.741219387480152,5.678581844259338,5.643712958648278,5.632616779633989,5.627178074341345,5.62395276513207
7,Runtime[s],1.8137550354003906,0.3892519474029541,0.9153659343719482,1.8047709465026855,3.4865000247955322,8.532948970794678
8,"Y0(95,0.4)",4.5508668054855,4.476566661593804,4.43402013722997,4.420311244510959,4.413595571255926,4.409615828216873
8,"Y0(100,0.4)",5.981024566315816,5.895009301242717,5.847126465680943,5.831975690567501,5.824603644682729,5.820254925826987
8,"Y0(105,0.4)",5.7643052534328225,5.694635009930076,5.655949584327762,5.643784736277474,5.637878292993612,5.634402756444637
8,Runtime[s],0.4414381980895996,0.8386149406433105,1.941382884979248,3.735598087310791,7.3007121086120605,17.887752056121826
9,"Y0(95,0.4)",4.552764096145429,4.476708328847684,4.433080925535879,4.419030834250433,4.41214953613417,4.408080102077703
9,"Y0(100,0.4)",5.989175246779031,5.9000362832039555,5.850168765189606,5.834391259149398,5.826726789445343,5.822220190573994
9,"Y0(105,0.4)",5.775721408524349,5.702087733996525,5.661129898310621,5.64824054251617,5.642001725545739,5.638346519865993
9,Runtime[s],1.0707979202270508,1.8905627727508545,4.2599101066589355,8.174166917800903,16.05160403251648,39.246294021606445
10,"Y0(95,0.4)",4.553135790395785,4.476722820736429,4.432648418300188,4.418445716074803,4.411486015013121,4.407369432970103
10,"Y0(100,0.4)",5.992013294604983,5.901917362190984,5.851285499777805,5.835222045605051,5.827417702108963,5.82282760038766
10,"Y0(105,0.4)",5.780167840987689,5.705036524384587,5.662995372702445,5.649741113868645,5.643321503791739,5.6395614626842985
10,Runtime[s],3.014230966567993,4.877776861190796,10.829348802566528,20.496145009994507,39.74500799179077,96.01485300064087
