scheme,measurement_type,10,20,50,100,200
LawsonEuler,"Y0(95,0.4)",4.568866857352033,4.4823776645810955,4.4358266517467575,4.420437748153691,4.412764346115497
LawsonEuler,"Y0(100,0.4)",6.117624123505274,5.960530775848134,5.876435710403158,5.848683979401374,5.8348444489628
LawsonEuler,"Y0(105,0.4)",5.934527185319655,5.777553535585985,5.694110443932705,5.666619673182807,5.652913215801796
LawsonEuler,Runtime[s],16.29758906364441,26.72752594947815,63.941617012023926,121.85946798324585,251.1486759185791
NorsettEuler,"Y0(95,0.4)",4.5486249741079865,4.477514833242555,4.433334133872664,4.419024826556065,4.412007145296812
NorsettEuler,"Y0(100,0.4)",5.99220330231646,5.903638572792302,5.85274804700738,5.836574294734553,5.828705235026495
NorsettEuler,"Y0(105,0.4)",5.784307358088395,5.708106949215157,5.665510662672332,5.652070581012217,5.645558942298549
NorsettEuler,Runtime[s],14.216061115264893,24.54523992538452,57.91890597343445,111.82943487167358,232.02599811553955
ETDRK2,"Y0(95,0.4)",4.414984596665732,4.410347790986888,4.4064590160274175,4.405587319790045,4.405288421959524
ETDRK2,"Y0(100,0.4)",5.842339851275588,5.828995715203513,5.822989519103233,5.82171161171003,5.821277876307833
ETDRK2,"Y0(105,0.4)",5.664110776299721,5.6476572562305485,5.641268098869834,5.639939397054439,5.639491045205529
ETDRK2,Runtime[s],25.275984048843384,45.94593000411987,115.02431416511536,223.63514494895935,427.98233294487
ETDRK3,"Y0(95,0.4)",4.401711681573227,4.405646967681058,4.405303667817936,4.40519024104283,4.40515283780599
ETDRK3,"Y0(100,0.4)",5.822496853219874,5.822029498634128,5.821297229268936,5.821135658074126,5.821083638274541
ETDRK3,"Y0(105,0.4)",5.643191534542689,5.640348526998886,5.639508208416763,5.639344055700371,5.639292105660618
ETDRK3,Runtime[s],39.27185392379761,73.73002099990845,173.25978803634644,342.7664051055908,704.0430819988251
ETDRK4,"Y0(95,0.4)",4.401447795322716,4.405582387035224,4.405295130625398,4.405188490128238,4.405152514218182
ETDRK4,"Y0(100,0.4)",5.822174060004077,5.8219318521051875,5.821284292986103,5.821133013085366,5.821083173020113
ETDRK4,"Y0(105,0.4)",5.642973546249731,5.640258330782888,5.639495579655486,5.639341445618326,5.639291665399351
ETDRK4,Runtime[s],58.6729199886322,115.16454100608826,292.37147092819214,562.7540669441223,1113.8108780384064
HochOst4,"Y0(95,0.4)",4.401469630234858,4.405590237616024,4.405296335176309,4.405188810498648,4.405152589545693
HochOst4,"Y0(100,0.4)",5.82209117804418,5.821939092411915,5.821286120684983,5.821133493721526,5.821083308346886
HochOst4,"Y0(105,0.4)",5.642838378673538,5.640263346092812,5.639497511127216,5.63934194158539,5.639291826783516
HochOst4,Runtime[s],56.55783295631409,107.30471801757812,271.268474817276,564.2984058856964,1123.0640890598297
