scheme,measurement_type,10,20,50,100,200
LawsonEuler,"Y0(95,0.4)",4.55889353775351,4.482875431907881,4.436759166956077,4.42138671607426,4.413723929702208
LawsonEuler,"Y0(100,0.4)",6.097064858093674,5.959540729212803,5.876770820738733,5.849218292528978,5.835472937336157
LawsonEuler,"Y0(105,0.4)",5.911266098530907,5.775593435364042,5.693759612143206,5.666531698044123,5.652949135932366
LawsonEuler,Runtime[s],15.324666976928711,24.689898014068604,57.58015704154968,113.82908010482788,231.95320010185242
NorsettEuler,"Y0(95,0.4)",4.556063956348408,4.478658671288987,4.434268822835202,4.419977826467134,4.412970028597478
NorsettEuler,"Y0(100,0.4)",5.993566483126855,5.903501817590309,5.853099332918902,5.83711897260343,5.829340669621295
NorsettEuler,"Y0(105,0.4)",5.782131249348978,5.707045730149355,5.66519951757182,5.652005837551896,5.645609191963582
NorsettEuler,Runtime[s],13.517168998718262,22.992510080337524,52.937315940856934,108.18229699134827,198.72528505325317
ETDRK2,"Y0(95,0.4)",4.421711351931721,4.41148078577132,4.407404374845487,4.406547217996359,4.406255401761352
ETDRK2,"Y0(100,0.4)",5.844420122120597,5.829371928456369,5.82355474466327,5.82236596271077,5.821968820328165
ETDRK2,"Y0(105,0.4)",5.663070394735506,5.647277454401284,5.641240146776829,5.640019794606871,5.639614692100402
ETDRK2,Runtime[s],22.804872035980225,41.3335599899292,99.86676406860352,206.08309888839722,419.01541686058044
ETDRK3,"Y0(95,0.4)",4.408246638322317,4.406812640872452,4.406267280429841,4.406159260575584,4.406125276554877
ETDRK3,"Y0(100,0.4)",5.8247693567303465,5.822713131745146,5.821980336228613,5.821838577306757,5.82178938140369
ETDRK3,"Y0(105,0.4)",5.6424198553971925,5.640349259297917,5.639623816974792,5.639481966569384,5.639427827363746
ETDRK3,Runtime[s],36.453238010406494,64.6809139251709,157.76238203048706,327.24703788757324,631.4587268829346
ETDRK4,"Y0(95,0.4)",4.407973308591181,4.406756105325042,4.4062608961565815,4.40615804826403,4.406125012867658
ETDRK4,"Y0(100,0.4)",5.824348602468962,5.822624525834186,5.821969638733305,5.821836318455952,5.821788901829376
ETDRK4,"Y0(105,0.4)",5.6420582171201055,5.640269294933227,5.6396137788806575,5.639479597419002,5.639427339684735
ETDRK4,Runtime[s],59.70760703086853,113.25907516479492,257.0330078601837,499.4254860877991,1060.0944430828094
HochOst4,"Y0(95,0.4)",4.408012794581762,4.4067639100944875,4.4062616254232,4.406158138571728,4.4061249937802085
HochOst4,"Y0(100,0.4)",5.824370843340377,5.822629495601256,5.821970158609949,5.821836398377394,5.821788855109925
HochOst4,"Y0(105,0.4)",5.642055206870694,5.640270322777706,5.639613988545749,5.639479582936677,5.639427264005183
HochOst4,Runtime[s],59.85114502906799,113.38401699066162,275.0175869464874,544.551549911499,1043.0608899593353
