scheme,measurement_type,10,20,50,100,200
LawsonEuler,Sup Err,1.9268712082537789,0.3944606592999289,0.05398743032552211,0.032650658196704097,0.03246096624194461
LawsonEuler,Abs Err,1.703275418639139,0.09161543342713685,0.006197852217960431,0.0015506020070059634,0.0013006068116521163
LawsonEuler,Runtime[s],36.37139391899109,54.909815073013306,127.80985879898071,250.36766386032104,503.9793179035187
NorsettEuler,Sup Err,1.934867763334596,0.38392105699835,0.051350691551789396,0.03159982791692295,0.03194409686036659
NorsettEuler,Abs Err,1.7047777926988523,0.08196235780944683,0.0033280616191913026,0.0002772881294941243,0.0006748299382710599
NorsettEuler,Runtime[s],29.91548991203308,52.66490387916565,130.9926438331604,245.1659209728241,494.20695996284485
ETDRK2,Sup Err,1.9391334039264603,0.3842611585074476,0.05139210419025897,0.03258766283636527,0.03243779542419345
ETDRK2,Abs Err,1.7085986964938389,0.08758575204510777,0.0055902695115914725,0.0014070340614438237,0.001239321465204668
ETDRK2,Runtime[s],55.86133098602295,106.29309391975403,245.76737594604492,514.8473510742188,995.9286239147186
ETDRK3,Sup Err,1.9395810502236408,0.3842779927828639,0.05138180737603548,0.03258800538292217,0.032437875645710434
ETDRK3,Abs Err,1.7089971267699529,0.08765563928761111,0.005595346112478694,0.001407956778608721,0.0012395460433758387
ETDRK3,Runtime[s],78.48896980285645,160.8867199420929,367.1654860973358,710.7713379859924,1432.524894952774
ETDRK4,Sup Err,1.9422859360135352,0.3843766364293515,0.051387372328423275,0.03258801801614064,0.03243787569683576
ETDRK4,Abs Err,1.711345836198797,0.08768693839521546,0.005596115132835422,0.0014079709465928403,0.0012395461007663755
ETDRK4,Runtime[s],126.30536890029907,258.8081920146942,600.153128862381,1278.9368541240692,2403.2768700122833
HochOst4,Sup Err,1.939582632225063,0.3842780050584631,0.05138180764836253,0.032588005415121746,0.032437875649971915
HochOst4,Abs Err,1.708998528257391,0.08765563989285319,0.005595360357990131,0.0014079568158624767,0.001239546048250162
HochOst4,Runtime[s],123.81783485412598,239.62699699401855,615.8208010196686,1185.4605140686035,2410.866184949875
