M,N,poly,samples,mean,std,elapsed_time
4.194304e6,4.0,4.0,50.0,25.498932839818664,0.03249017408225531,983.471321105957
4.194304e6,5.0,5.0,50.0,25.937787290767854,0.0396825600754363,1204.202376127243
4.194304e6,6.0,6.0,50.0,26.146162816355492,0.04574867692881515,1436.7939038276672
4.194304e6,7.0,7.0,50.0,26.223869666448405,0.038583023533858674,1706.808294057846
4.194304e6,8.0,8.0,50.0,26.30012674677225,0.06105104319064669,2021.936784029007
4.194304e6,9.0,9.0,50.0,26.340413582845287,0.05798417921933401,2340.4301409721375
