q,measurement_type,10,20,50,100,200,500
7,Sup Err,0.04521204462466777,0.045212028052351805,0.0452120260516935,0.045212025939301625,0.04521202592557749,0.04521202592376383
7,"Y0(100,0.4)",0.006920885565280699,0.006920826801016133,0.006920822048003927,0.006920821866417626,0.00692082184819931,0.006920821846080116
7,Runtime[s],10.149618148803711,1.3225607872009277,3.1724729537963867,7.749315023422241,15.18294906616211,28.659557104110718
8,Sup Err,0.03469262459509981,0.03465039636115419,0.03465037367343582,0.03465037359267242,0.03465037358154266,0.03465037357995859
8,"Y0(100,0.4)",0.0024542363635138287,0.0024185305286614778,0.002418507218296284,0.002418507036807682,0.002418507018591143,0.002418507016416882
8,Runtime[s],2.547924041748047,2.589744806289673,6.165657997131348,15.524805068969727,30.45684504508972,57.78362488746643
9,Sup Err,0.39611024233798453,0.08478773244037363,0.03244325987810548,0.03229536916741926,0.03229467987542867,0.0322946798007111
9,"Y0(100,0.4)",0.11932070553846863,0.01498484747694917,0.0014742295683145556,0.001309134342749374,0.0013083638671460562,0.0013083637832274064
9,Runtime[s],4.611959934234619,4.663119077682495,12.523338794708252,28.708259105682373,46.17327284812927,116.59639120101929
10,Sup Err,5.537168266459178,3.186511513098779,0.23526427771575253,0.060679442139524475,0.03192149528035415,0.03164570032920633
10,"Y0(100,0.4)",4.941641806461591,2.8535804704424192,0.05267499355895566,0.006811853767089815,0.0013512474589045809,0.0010321589664421538
10,Runtime[s],12.31826400756836,11.568256139755249,29.190124034881592,69.88784408569336,114.66461682319641,283.5138330459595
